שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
בית חנן,159,500,391,3,388,104,0,0,0,0,0,1,10,0,1,9,0,8,44,24,0,0,0,0,0,0,131,0,0,0,0,0,1,47,0,0,6,0,2
בית חנניה,800,514,403,2,401,99,0,0,0,0,0,1,6,0,1,23,0,5,54,29,0,0,3,0,0,0,115,1,0,0,0,0,4,53,0,1,4,1,1
בית חשמונאי,1050,1344,1051,9,1042,166,1,0,0,0,0,2,5,0,0,104,0,32,278,38,0,0,10,0,0,0,264,2,0,0,0,0,21,76,0,0,8,4,31
בית יהושע,288,650,517,3,514,103,4,0,0,0,0,2,7,0,2,25,0,6,71,63,0,1,1,0,0,0,163,0,0,0,0,0,6,54,0,0,3,2,1
בית יוסף,265,321,180,3,177,13,0,0,0,0,0,0,0,0,0,21,0,6,48,2,0,0,2,0,0,0,9,0,0,0,1,0,1,3,0,0,5,1,65
בית ינאי,200,309,226,0,226,54,0,0,0,0,0,4,19,0,0,1,0,5,13,44,0,0,1,0,0,0,55,0,0,0,0,0,1,24,0,2,2,1,0
בית יצחק-שער חפר,326,1565,1242,7,1235,335,2,0,0,2,0,4,20,0,1,25,0,16,143,159,0,1,5,0,0,0,355,0,0,0,0,0,19,133,0,0,5,6,4
בית לחם הגלילית,430,550,426,1,425,116,1,0,0,0,0,2,1,0,0,27,0,8,58,53,0,0,0,0,0,0,107,0,0,0,0,0,1,46,0,1,3,1,0
בית מאיר,751,359,269,3,266,1,32,0,0,0,0,0,0,0,0,107,0,1,52,0,0,0,20,0,0,0,7,6,0,0,0,0,8,0,0,0,2,0,30
בית נחמיה,784,595,437,3,434,65,6,0,0,0,0,4,9,0,0,35,0,38,95,33,0,0,3,0,0,0,91,1,0,0,0,0,11,33,1,0,6,0,3
בית ניר,16,349,287,1,286,92,0,0,0,0,0,5,12,0,0,0,0,2,6,119,0,0,0,0,0,0,27,0,0,0,0,0,3,16,0,1,1,1,1
בית נקופה,672,398,296,1,295,42,1,0,0,0,0,1,8,0,0,13,0,3,71,33,0,0,7,0,0,0,62,2,0,0,0,0,8,17,0,0,6,0,21
בית עובד,202,251,204,2,202,73,0,0,0,0,0,0,5,0,0,2,0,6,18,26,0,0,0,0,0,0,42,0,0,0,0,0,2,21,0,0,3,2,2
בית עוזיאל,301,413,289,2,287,21,1,0,0,0,0,0,0,0,0,48,0,13,66,7,0,0,10,0,0,0,37,5,0,0,0,0,21,22,0,1,2,2,31
בית עזרא,756,772,577,7,570,101,1,0,0,0,0,0,4,0,0,59,3,44,146,11,0,0,6,1,0,0,76,1,0,0,0,0,6,45,0,0,8,1,57
בית עריף,604,632,477,3,474,36,9,0,0,0,0,0,1,0,0,45,0,12,223,9,0,0,4,0,0,0,34,44,0,0,0,0,6,6,0,0,3,0,42
בית קמה,598,539,438,5,433,114,0,0,0,0,0,0,2,0,0,12,0,2,38,117,0,0,1,0,0,0,101,0,0,0,0,0,3,36,1,0,4,1,1
בית קשת,365,345,236,0,236,110,0,0,0,0,0,1,25,0,0,8,0,7,6,32,0,0,0,0,0,0,24,0,0,0,0,0,1,21,0,0,1,0,0
בית רבן,848,305,230,0,230,1,0,0,0,0,0,0,0,0,0,168,0,0,12,1,0,0,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,26
בית רימון,1162,243,203,0,203,21,0,0,0,0,0,0,0,0,0,147,0,0,11,0,0,0,5,0,0,0,2,0,0,0,0,0,9,4,0,0,0,0,4
בית שאן,9200,13249,8393,81,8312,392,73,0,0,9,0,3,13,0,4,1251,20,196,2922,32,3,1,180,2,8,3,366,94,4,0,9,2,89,180,6,1,80,6,2363
בית שמש,2610,46313,29872,279,29593,753,8360,2,1,11,8,20,25,0,19,4271,95,141,6741,148,2,2,858,4,16,4,1273,381,11,0,18,16,404,374,10,8,165,19,5433
בית שערים,248,452,385,1,384,97,0,0,0,1,0,1,8,0,2,18,0,3,59,33,0,0,2,0,0,0,96,0,0,0,0,0,3,58,0,0,2,0,1
בית שקמה,747,493,264,0,264,9,6,0,0,1,0,0,2,0,0,34,0,4,135,1,0,0,2,0,0,0,13,2,0,0,0,0,2,7,0,0,3,0,43
ביתן אהרן,252,136,98,1,97,26,0,0,0,0,0,0,6,0,0,1,0,1,6,10,0,0,0,0,0,0,35,0,0,0,0,0,0,12,0,0,0,0,0
ביתר עילית,3780,16587,14069,72,13997,15,8404,1,0,0,0,2,1,0,0,154,2,1,137,3,1,0,737,0,0,1,10,198,0,0,6,4,51,1,1,0,20,0,4247
בלפוריה,94,328,249,0,249,53,1,0,0,0,0,0,5,0,0,26,0,9,46,19,0,1,5,0,0,0,48,4,0,0,0,0,5,18,0,0,3,1,5
בן זכאי,760,509,377,5,372,2,1,0,0,0,0,0,2,0,0,52,0,1,123,1,0,0,7,0,0,0,12,1,0,0,0,0,4,4,0,0,2,0,160
בן עמי,712,527,401,1,400,78,2,0,0,0,0,5,4,0,1,30,0,4,84,33,0,0,1,0,0,0,88,1,0,0,0,0,6,45,0,0,10,2,6
בן שמן (כפר נוער),1084,237,154,1,153,39,0,0,0,0,0,1,4,0,0,7,0,1,19,13,0,0,0,0,0,0,48,1,0,0,0,0,3,14,0,0,0,0,3
בן שמן (מושב),2013,547,430,0,430,80,1,0,0,0,0,5,10,0,0,21,0,11,91,37,0,2,0,0,0,0,103,0,0,0,0,0,6,54,0,0,3,1,5
בני ברק,6100,96861,75482,335,75147,918,44973,13,3,11,4,19,54,0,20,2676,93,165,3027,190,3,7,1057,6,7,8,872,1083,11,0,8,12,327,321,9,5,139,21,19085
בני דרום,592,333,280,2,278,13,0,0,0,0,0,0,0,0,0,193,0,3,27,5,0,0,6,0,0,0,17,0,0,0,0,0,6,1,0,1,2,0,4
בני דרור,386,1032,727,3,724,188,0,0,0,0,0,1,5,0,2,35,0,14,119,69,0,0,2,0,0,0,189,2,0,0,0,0,13,76,0,0,6,1,2
בני יהודה,4015,852,567,7,560,119,0,0,0,0,0,0,5,0,3,81,1,9,93,22,0,0,11,0,0,1,129,8,0,0,0,0,8,42,1,0,7,6,14
בני נצרים,1363,133,118,0,118,0,1,0,0,0,0,0,0,0,0,92,0,0,1,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
בני עטרות,448,560,469,1,468,112,0,0,0,0,0,0,3,0,0,22,0,5,55,53,0,0,4,0,0,0,143,1,0,0,0,0,7,46,0,1,12,1,3
"בני עי""ש",1066,5692,3687,86,3601,149,10,0,0,8,3,6,8,0,21,375,79,36,1527,37,2,4,37,6,2,1,460,128,6,0,3,5,12,195,4,4,82,15,376
בני ציון,418,757,603,2,601,129,1,0,0,0,0,2,17,0,0,22,0,12,75,69,0,0,2,1,0,0,204,0,0,0,0,0,9,49,0,0,3,1,5
בני ראם,588,752,608,4,604,12,30,2,1,0,0,1,1,0,0,251,0,6,96,1,1,0,35,0,0,0,22,32,1,0,0,0,7,2,1,0,1,1,100
בניה,685,612,516,11,505,116,1,0,0,1,0,0,3,0,0,27,0,18,80,36,0,0,8,0,0,0,144,0,0,0,0,0,4,57,1,0,2,1,6
בנימינה-גבעת עדה,9800,8695,6532,34,6498,1489,11,2,1,3,0,21,102,0,4,399,2,118,1122,580,0,3,37,0,4,1,1641,20,1,0,1,3,95,474,3,11,89,16,245
"בסמ""ה",1326,5004,2781,27,2754,172,3,563,0,1,0,727,1,0,0,8,1,26,10,143,1,0,1,1,979,0,4,0,0,0,0,0,4,7,2,14,1,0,85
בסמת טבעון,944,4367,1731,46,1685,168,14,131,1,1,4,84,0,0,2,13,0,74,119,73,0,1,1,1,790,1,27,7,1,0,5,6,0,32,2,3,9,0,115
בענה,483,4553,3013,28,2985,15,3,408,1,1,2,904,1,0,2,19,1,59,22,13,0,0,3,1,1423,1,5,0,0,0,0,1,11,14,1,1,2,2,69
בצרה,389,693,551,1,550,88,3,0,0,0,0,4,10,0,1,22,0,17,62,56,0,0,2,0,0,0,206,2,0,0,0,0,6,62,0,0,6,0,3
בצת,589,276,201,0,201,41,0,0,0,0,0,3,1,0,0,17,0,6,44,2,0,0,3,0,0,0,51,1,0,0,0,0,3,25,0,0,3,0,1
בקוע,864,416,313,3,310,38,1,0,0,0,0,0,0,0,0,37,0,4,95,0,0,1,13,0,0,0,37,14,0,0,0,1,7,13,0,0,4,0,45
בקעות,3612,147,111,0,111,20,0,0,0,1,0,0,1,0,0,8,0,5,37,1,0,0,1,0,0,0,27,1,0,0,0,0,0,6,0,0,0,0,3
בר גיורא,823,381,283,6,277,29,1,0,0,0,0,2,3,0,0,33,0,12,95,13,0,0,7,0,0,0,28,0,0,0,0,0,10,8,0,1,3,1,31
בר יוחאי,1191,354,263,0,263,1,16,0,0,0,0,0,0,0,0,135,0,3,42,0,0,0,15,0,0,0,1,3,0,0,0,3,3,0,0,0,1,0,40
ברוכין,3744,154,142,0,142,0,0,0,0,0,0,0,0,0,0,94,0,0,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ברור חיל,428,622,427,1,426,191,0,0,0,0,0,4,2,0,0,11,0,24,33,47,0,0,2,0,1,0,71,1,0,0,0,0,1,33,0,0,4,1,0
ברוש,2060,208,162,0,162,8,1,0,0,0,0,0,0,0,0,22,0,2,44,1,0,0,1,0,0,0,8,0,0,0,0,0,1,49,0,0,2,0,23
ברכה,3710,883,712,6,706,3,1,0,0,0,0,0,0,0,0,192,0,3,368,1,0,0,125,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,6
ברכיה,746,677,543,6,537,2,5,0,0,0,0,0,1,0,0,100,0,7,133,0,0,0,16,0,0,0,8,5,0,0,0,6,19,1,0,0,3,0,231
ברעם,667,500,341,1,340,76,0,0,0,1,0,1,1,0,0,5,1,3,8,177,0,0,1,0,0,0,48,1,0,0,0,0,1,11,0,0,4,1,0
ברק,141,293,205,3,202,61,0,0,0,0,0,0,1,0,0,20,0,9,39,2,0,0,6,0,0,0,33,0,0,0,1,0,2,20,0,0,2,1,5
ברקאי,617,472,312,4,308,71,1,1,0,0,0,7,9,0,0,1,0,1,4,147,0,0,1,0,0,0,32,1,0,0,0,0,2,26,0,0,4,0,0
ברקן,3654,1086,790,3,787,56,3,0,0,1,0,2,9,0,1,156,3,8,375,8,0,0,15,0,0,0,95,14,0,0,1,0,6,11,0,0,19,2,2
ברקת,2038,877,724,1,723,7,11,0,0,0,0,0,0,0,0,185,0,0,105,0,0,0,177,1,0,1,5,103,1,0,0,0,4,3,0,0,6,1,113
בת הדר,1323,381,261,0,261,28,1,0,0,0,0,1,6,0,0,17,0,6,74,6,0,0,8,0,0,0,63,0,0,0,0,0,2,33,0,0,2,1,13
בת חן,1361,519,402,4,398,144,3,0,0,2,0,0,10,0,1,13,1,6,51,37,0,0,1,0,0,0,92,0,1,0,2,0,8,22,0,0,1,0,3
בת חפר,1319,3428,2626,15,2611,528,11,0,0,0,0,5,41,0,4,157,0,121,357,145,0,2,19,1,0,0,878,9,0,0,2,0,29,204,2,7,41,5,43
בת ים,6200,124406,65031,1071,63960,6643,557,31,14,105,19,83,371,0,205,4622,1120,1479,23438,1096,16,26,785,42,25,30,9704,316,69,0,47,53,589,3579,92,39,892,262,7611
בת עין,3794,635,464,4,460,3,17,0,0,0,0,0,3,0,0,183,0,0,24,1,0,0,169,0,0,0,2,7,0,0,0,4,3,0,0,1,0,0,43
בת שלמה,33,373,293,4,289,67,2,0,0,0,0,9,3,0,0,19,0,3,48,32,0,1,3,0,0,0,51,0,1,0,0,0,1,31,1,0,9,2,6
ג'דיידה-מכר,1292,11783,6384,60,6324,68,11,2016,2,4,3,1592,3,0,1,12,0,132,134,85,1,0,5,2,2101,5,11,3,2,0,5,2,25,21,7,10,7,6,48
ג'ולס,485,4008,2532,38,2494,96,17,49,1,1,1,42,1,0,2,277,0,447,429,32,0,0,1,0,4,1,84,5,0,0,0,1,1,643,2,2,7,4,344
ג'לג'וליה,627,5011,3552,34,3518,727,3,538,1,0,1,807,1,0,1,5,0,2,13,140,0,0,2,0,1168,2,7,3,2,0,4,3,7,3,0,6,3,1,68
ג'נאביב (שבט),976,293,114,4,110,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73,0,0,0,0,0,0,1,2,28,0,1,0,0,0
ג'סר א-זרקא,541,7308,2993,17,2976,155,1,1139,2,0,0,132,1,0,1,9,1,49,24,239,1,1,2,0,910,1,22,0,1,0,1,0,16,26,7,4,2,14,215
ג'ש (גוש חלב),487,2208,981,23,958,90,0,173,0,0,0,233,1,0,0,14,0,28,87,78,0,0,6,0,137,0,5,2,0,0,0,1,2,41,0,1,7,2,50
ג'ת,628,6554,2549,66,2483,112,1,757,0,1,1,147,2,0,0,5,0,66,3,76,0,0,2,2,1253,1,4,0,0,0,0,2,4,3,15,12,3,0,11
גאולי תימן,872,280,191,2,189,28,2,0,0,0,0,0,1,0,0,34,0,1,70,1,0,0,3,0,1,0,22,1,0,0,0,1,7,2,1,0,3,0,11
גאולים,379,645,450,5,445,107,3,0,0,0,0,0,1,0,0,57,0,17,74,12,0,1,7,0,0,0,77,14,0,0,0,0,11,21,0,0,8,2,33
גאליה,853,794,626,2,624,103,0,0,0,2,0,1,5,0,0,20,0,24,126,44,0,0,6,0,0,0,207,0,0,0,0,0,10,59,0,0,12,1,4
גבולות,352,266,161,0,161,39,1,1,0,0,0,1,1,0,0,4,0,1,7,74,0,0,1,0,0,0,14,0,0,0,0,0,0,9,0,0,7,0,1
גבים,424,320,239,1,238,97,0,0,0,0,0,0,1,0,0,7,0,15,11,48,0,1,1,0,1,0,23,0,0,0,0,1,2,23,0,0,7,0,0
גבע בנימין,3763,2493,1805,16,1789,73,35,0,0,0,0,0,3,0,0,375,5,22,559,10,1,2,158,1,0,0,115,45,0,0,1,0,22,14,0,0,21,5,322
גבע כרמל,683,644,488,2,486,116,0,0,0,0,0,0,9,0,0,25,0,23,72,32,1,0,1,0,0,0,114,0,0,0,0,0,15,50,0,0,1,1,26
גבע,86,502,379,2,377,221,0,0,0,0,0,3,10,0,0,2,0,5,8,39,0,0,0,0,0,1,45,0,0,0,0,0,1,39,0,0,3,0,0
גבעולים,2014,234,173,2,171,1,2,0,0,0,0,0,0,0,0,22,0,19,72,0,0,0,1,0,0,0,6,7,0,0,0,0,0,4,0,0,2,0,35
גבעון החדשה,3644,966,710,11,699,59,2,1,0,0,2,0,5,0,0,119,2,13,230,14,1,0,19,0,1,0,138,0,1,0,1,0,15,29,0,0,17,3,27
גבעות בר,1344,192,163,0,163,34,0,0,0,0,0,1,3,0,0,17,0,6,32,7,0,0,4,0,0,0,39,0,0,0,0,0,2,14,0,0,0,1,3
גבעת אבני,1293,1565,1119,2,1117,165,3,0,0,1,0,0,1,0,0,146,0,25,275,28,0,0,16,1,0,99,188,5,0,0,0,0,19,69,0,0,14,2,60
גבעת אלה,1288,1451,1103,3,1100,348,0,0,0,1,0,1,15,0,4,29,0,24,101,127,0,0,5,0,0,0,302,0,0,0,0,0,10,120,0,1,7,0,5
גבעת ברנר,147,1758,1333,8,1325,540,3,0,0,1,0,4,26,0,3,30,0,21,121,158,1,0,7,0,0,0,258,4,0,0,0,0,15,106,0,0,19,2,6
גבעת השלושה,870,437,337,1,336,138,1,0,0,0,0,0,7,0,0,6,0,8,25,35,0,0,0,0,0,0,74,1,0,0,0,0,7,26,0,0,4,2,2
גבעת זאב,3730,9282,6931,38,6893,328,751,1,0,4,0,2,40,0,7,1026,12,74,2113,68,0,0,280,0,0,0,777,52,0,0,3,1,122,164,2,2,74,96,894
"גבעת ח""ן",207,310,262,1,261,73,2,0,0,0,0,1,6,0,2,6,0,12,18,31,0,0,0,0,0,0,66,0,0,0,0,1,2,36,0,0,4,1,0
גבעת חיים (איחוד),2018,870,657,1,656,348,0,0,0,0,0,3,5,0,0,3,2,7,9,126,0,0,0,0,0,0,103,0,0,0,0,0,2,43,0,0,3,1,1
גבעת חיים (מאוחד),173,872,676,1,675,303,2,0,0,1,0,5,10,0,1,8,1,26,28,133,0,0,2,0,0,0,95,1,0,0,0,0,8,39,0,0,6,2,4
גבעת יואב,4021,407,302,3,299,51,0,0,0,0,0,1,6,0,0,39,0,10,56,15,0,0,5,0,0,0,55,0,0,0,0,0,5,35,1,2,14,3,1
גבעת יערים,787,832,620,7,613,97,4,0,0,0,0,5,11,0,0,80,0,7,181,48,0,0,11,0,0,0,78,6,0,0,0,0,27,17,0,0,10,1,30
גבעת ישעיהו,919,406,305,0,305,68,1,0,0,0,0,3,8,0,0,20,0,8,43,58,0,0,4,0,0,1,46,0,0,0,0,0,5,23,0,0,4,2,11
"גבעת כ""ח",802,523,375,4,371,28,4,0,0,1,0,0,2,0,1,57,0,17,110,5,0,0,6,0,0,0,57,25,0,0,0,0,3,14,0,0,2,2,37
"גבעת ניל""י",360,379,300,2,298,48,0,0,0,0,0,3,6,0,1,9,0,5,118,16,0,1,1,0,0,0,54,0,0,0,0,0,2,23,0,0,2,4,5
גבעת עוז,703,407,270,0,270,95,0,0,0,0,0,0,6,0,0,16,0,4,13,74,0,0,2,0,0,0,32,0,0,0,0,0,0,18,0,0,5,1,4
גבעת שמואל,681,15870,12346,49,12297,1167,144,3,2,5,1,11,97,0,12,3882,16,181,2522,368,0,2,304,1,6,21,1891,47,3,0,0,1,267,517,3,2,114,21,686
גבעת שפירא,1077,184,147,0,147,40,0,0,0,0,0,0,0,0,0,5,0,5,11,17,0,0,0,0,0,0,61,0,0,0,0,0,0,7,0,1,0,0,0
גבעתי,793,584,395,2,393,45,0,0,0,0,0,0,0,0,0,35,0,28,123,0,0,0,5,0,1,0,49,1,0,0,2,0,6,33,0,1,5,0,59
גבעתיים,6300,45344,32477,233,32244,7605,152,9,1,38,0,143,455,0,46,1732,34,727,5620,3226,2,10,260,2,5,5,8147,61,6,0,8,15,413,2531,12,52,278,51,598
גברעם,342,293,217,0,217,78,0,0,0,0,1,0,3,0,1,10,0,11,24,17,0,0,2,0,0,0,46,0,0,0,0,0,1,16,0,1,3,0,3
גבת,133,623,505,2,503,269,0,0,0,0,0,1,13,0,0,10,0,20,14,50,0,0,0,0,0,1,95,0,0,0,0,0,1,22,0,0,3,4,0
גדות,35,352,228,0,228,89,0,0,0,0,0,3,2,0,0,6,0,0,8,54,0,0,0,0,0,0,39,0,0,0,0,0,2,23,0,0,2,0,0
גדיש,145,252,171,1,170,19,4,0,0,0,0,0,0,0,0,18,0,7,70,0,1,0,1,0,0,0,5,1,0,0,0,1,2,7,0,0,0,0,34
גדעונה,442,206,139,0,139,13,1,0,0,0,0,0,2,0,0,23,0,0,48,3,0,0,2,0,0,0,19,3,0,0,0,0,1,6,0,0,4,0,14
גדרה,2550,14613,10752,90,10662,1584,71,1,3,9,1,15,89,0,11,1176,17,219,2867,390,1,4,174,3,4,4,2129,338,1,0,9,6,146,667,10,2,94,30,587
גונן,852,341,230,1,229,73,0,0,0,0,0,0,2,0,0,11,0,1,12,42,0,0,4,0,0,0,31,0,0,0,0,0,0,41,1,1,7,0,3
גורן,755,352,250,1,249,18,1,0,0,0,0,0,1,0,0,25,0,6,71,1,0,0,1,0,0,0,16,1,0,0,0,0,5,2,0,0,0,0,101
גורנות הגליל,1219,153,80,2,78,13,0,0,0,0,0,0,1,0,1,5,0,8,13,4,0,0,2,0,0,0,9,0,0,0,0,0,1,5,0,0,5,0,11
גזית,457,579,437,3,434,93,0,0,0,0,0,6,3,0,0,0,0,1,13,215,0,0,1,0,0,0,62,0,0,0,0,0,1,37,0,1,1,0,0
גזר,370,349,176,0,176,45,0,0,0,0,0,6,2,0,0,5,0,0,14,50,0,0,1,0,0,0,31,0,0,0,0,0,0,13,0,1,5,1,2
גיאה,706,529,401,2,399,85,1,0,0,0,0,0,11,0,1,32,0,9,75,13,0,1,2,0,0,0,107,0,0,0,0,0,5,46,0,2,3,0,6
גיבתון,196,228,188,1,187,70,1,0,0,0,0,0,3,0,0,11,4,4,15,21,0,0,0,0,0,0,37,0,0,0,0,0,0,18,0,0,2,1,0
גיזו,1043,126,103,0,103,22,1,0,0,1,0,0,1,0,0,9,0,3,28,10,0,0,0,0,0,0,14,2,0,0,0,0,0,8,0,0,0,0,4
גילון,1204,795,629,0,629,171,0,0,0,1,0,1,7,0,0,30,0,8,79,48,0,0,5,0,0,0,195,1,0,0,0,0,6,65,0,0,6,4,2
גילת,736,788,536,2,534,54,5,0,0,1,0,0,1,0,0,82,0,28,200,2,0,0,12,0,0,0,49,2,0,0,0,0,13,26,0,0,3,0,56
גינוסר,262,484,329,2,327,141,0,0,0,0,0,0,3,0,0,11,0,5,32,31,0,0,0,0,0,0,75,1,0,0,0,0,1,20,0,0,5,1,1
גיניגר,92,495,363,2,361,158,0,0,0,2,0,4,10,0,1,11,0,8,27,52,0,0,2,0,0,0,55,0,0,0,0,0,3,21,0,2,5,0,0
גינתון,863,595,471,7,464,94,0,0,0,0,0,3,11,0,3,21,0,14,74,28,0,0,7,0,0,0,145,2,0,0,0,0,2,47,0,0,3,1,9
גיתה,1206,184,137,1,136,19,0,0,0,0,0,5,13,0,0,7,3,1,37,9,0,0,1,0,0,0,20,1,0,0,0,0,2,8,0,0,8,2,0
גיתית,3613,167,122,0,122,8,0,0,0,0,0,0,0,0,0,72,0,1,21,0,0,0,8,0,0,0,4,1,0,0,0,0,2,5,0,0,0,0,0
גלאון,393,388,264,2,262,75,0,0,0,0,0,2,5,0,0,5,0,0,9,112,0,0,1,0,0,1,26,0,0,0,0,0,2,15,0,0,5,4,0
גלגל,3606,122,70,0,70,14,0,0,0,0,0,0,1,0,0,15,0,1,11,3,0,0,1,0,0,0,17,0,0,0,0,0,0,6,0,0,1,0,0
גליל ים,346,309,246,0,246,79,0,0,0,0,0,4,7,0,0,5,0,8,13,43,0,0,0,0,0,0,55,1,0,0,0,0,3,24,0,0,1,1,2
גלעד (אבן יצחק),369,348,243,0,243,120,0,0,0,0,0,0,2,0,0,8,0,3,10,40,0,0,1,0,0,0,39,0,0,0,0,0,1,18,0,0,1,0,0
גמזו,745,606,497,2,495,6,25,0,0,0,0,0,2,0,2,295,0,5,48,3,0,0,36,0,1,0,16,4,0,0,0,0,13,1,0,0,4,2,32
גן הדרום,1072,300,240,1,239,37,0,0,0,0,0,0,1,0,0,17,0,14,83,8,0,0,1,0,0,0,51,0,0,0,0,0,1,23,0,0,2,0,1
גן השומרון,225,568,442,0,442,95,0,0,0,0,1,2,11,0,2,27,0,19,42,52,0,0,2,1,0,0,126,0,0,0,0,0,5,49,0,0,5,0,3
גן חיים,239,527,430,2,428,115,1,0,0,0,0,1,3,0,0,18,0,19,24,54,0,0,1,0,0,0,124,1,0,0,0,0,6,49,0,0,10,0,2
גן יאשיה,734,566,462,3,459,144,0,0,0,0,0,1,13,0,0,25,0,10,35,46,0,1,0,0,0,0,143,0,0,0,0,0,2,33,0,0,4,0,2
גן יבנה,166,13361,9830,73,9757,1321,139,1,0,11,0,5,66,0,19,1133,21,186,2657,234,1,2,108,2,1,5,1999,79,11,0,8,2,166,617,4,3,126,26,804
גן נר,1274,1731,1204,5,1199,290,3,0,0,1,0,2,1,0,0,119,1,28,326,41,0,0,16,2,0,0,240,5,0,0,2,0,12,64,0,0,15,2,29
גן שורק,311,252,192,1,191,35,0,0,0,0,0,2,6,0,0,15,0,6,33,16,0,0,1,0,0,0,55,0,0,0,0,0,1,15,0,1,0,3,2
גן שלמה,144,370,283,0,283,116,1,0,0,0,0,0,4,0,0,5,0,15,4,47,0,0,1,0,1,0,60,0,0,0,1,0,2,25,0,0,0,0,1
גן שמואל,72,837,638,1,637,136,0,0,0,0,0,3,9,0,0,4,0,3,9,364,1,0,1,0,0,0,57,0,0,0,0,0,6,37,0,0,7,0,0
גנות הדר,549,575,455,0,455,80,0,0,0,1,0,0,6,0,0,26,0,17,84,6,0,0,9,0,0,0,159,0,0,0,0,0,9,47,0,0,3,1,7
גנות,836,364,295,6,289,48,2,0,0,0,0,1,2,0,0,12,1,5,68,23,0,0,1,0,0,0,95,0,0,0,0,0,3,19,1,0,3,0,5
גני הדר,1103,213,159,1,158,33,1,0,0,0,0,1,4,0,0,6,0,4,9,18,0,0,1,0,0,0,42,0,0,0,0,0,3,30,0,0,3,0,3
גני יוחנן,862,506,387,1,386,77,0,0,0,0,0,0,3,0,0,21,0,28,74,16,0,1,7,0,0,0,94,1,0,0,0,0,5,38,2,0,0,1,18
גני עם,218,204,180,0,180,50,0,0,0,0,0,1,2,0,0,4,0,6,23,20,0,0,0,0,0,0,50,0,0,0,0,0,1,21,0,0,0,0,2
גני תקווה,229,10748,8220,50,8170,1260,242,0,0,10,1,14,86,0,10,634,6,177,1570,437,1,3,88,0,0,0,2023,62,4,0,0,5,134,532,5,5,66,16,779
געש,842,563,421,7,414,122,0,0,0,0,0,7,7,0,0,3,1,27,7,177,0,0,0,0,0,0,45,0,0,0,0,0,0,13,0,0,5,0,0
געתון,463,456,313,0,313,113,0,0,0,0,0,10,4,0,0,4,0,2,13,108,0,0,2,0,0,0,24,0,0,0,0,0,1,24,0,0,6,1,1
גפן,39,249,182,1,181,8,2,0,0,0,0,0,2,0,0,16,0,0,89,0,0,0,3,0,0,0,6,1,0,0,0,0,7,0,0,0,2,1,44
גרופית,1129,304,191,1,190,79,0,0,0,0,0,3,2,0,0,7,0,3,10,30,0,1,0,0,0,0,33,0,0,0,0,0,2,13,0,0,7,0,0
גשור,4022,180,126,0,126,34,0,0,0,0,0,0,3,0,0,12,0,2,14,20,0,0,1,0,0,0,25,0,0,0,0,0,2,7,0,0,5,0,1
גשר הזיו,574,1037,759,3,756,215,0,0,0,1,0,11,7,0,3,31,0,21,140,71,0,0,2,0,0,2,178,0,0,0,0,0,9,46,0,0,9,4,6
גשר,305,440,295,2,293,163,0,0,0,0,1,1,3,0,0,6,1,6,23,25,0,0,0,0,0,0,38,0,0,0,0,0,1,17,0,0,6,1,1
גת (קיבוץ),340,447,317,3,314,98,0,0,0,0,0,0,11,0,0,3,0,2,16,98,0,0,0,0,0,0,54,0,0,0,0,0,2,25,0,1,3,1,0
גת רימון,128,192,141,1,140,37,2,0,0,0,0,0,3,0,0,9,0,9,12,14,0,0,3,0,0,0,38,0,0,0,0,0,1,8,0,0,1,0,3
דאלית אל-כרמל,494,11066,6405,75,6330,526,2,113,9,10,1,218,7,0,1,18,1,2999,814,323,1,0,1,3,46,0,433,15,2,0,4,4,6,337,2,18,60,3,353
דבורה,146,228,164,0,164,60,1,0,0,0,0,0,1,0,1,9,0,1,26,1,0,0,0,0,0,0,39,0,0,0,0,0,8,11,1,0,1,0,4
דבוריה,489,5754,3345,18,3327,56,3,958,0,0,0,712,0,0,0,4,0,29,11,69,1,0,2,0,1229,1,15,0,1,0,0,1,4,103,1,4,4,0,119
דבירה,849,443,358,0,358,109,0,0,0,0,0,0,4,0,1,11,0,2,16,106,0,0,4,0,0,0,62,1,0,0,0,0,5,32,0,0,5,0,0
דברת,407,248,182,3,179,87,1,0,0,0,0,1,0,0,0,6,0,5,12,8,0,0,1,0,0,0,32,0,0,0,0,0,0,17,0,0,5,1,3
דגניה א',62,535,362,4,358,189,0,1,0,0,0,1,8,0,1,13,0,5,18,31,0,0,0,0,0,0,63,0,0,0,0,0,4,16,0,0,2,4,2
דגניה ב',79,502,377,2,375,197,1,0,0,0,0,0,5,0,0,7,1,4,28,31,2,0,2,0,0,0,54,1,1,0,0,0,3,24,0,0,10,2,2
